Date,County,Volume Sold (Liters)
2014-02-01,lee,15351.500000000002
2014-02-01,linn,121990.77000000031
2014-02-01,louisa,1001.3800000000001
2014-02-01,lucas,3233.08
2014-02-01,lyon,3853.719999999998
2014-02-01,madison,4243.019999999999
2014-02-01,mahaska,5323.319999999999
2014-02-01,marion,9441.530000000006
2014-02-01,marshall,13429.21000000001
2014-02-01,mills,2501.2499999999995
2014-02-01,mitchell,2882.13
2014-02-01,monona,2949.56
2014-02-01,monroe,2233.99
2014-02-01,montgomery,2970.2099999999996
2014-02-01,muscatine,14957.37000000001
2014-02-01,o'brien,8213.939999999997
2014-02-01,osceola,1376.61
2014-02-01,page,5365.56
2014-02-01,palo alto,3816.4999999999995
2014-02-01,plymouth,7261.550000000001
2014-02-01,pocahontas,2634.0099999999998
2014-02-01,polk,279722.0500000003
2014-02-01,pottawattamie,48716.78000000001
2014-02-01,poweshiek,7511.639999999999
2014-02-01,ringgold,1024.57
2014-02-01,sac,2838.119999999999
2014-02-01,scott,91934.91000000059
2014-02-01,shelby,3382.3299999999986
2014-02-01,sioux,7034.06
2014-02-01,story,43646.73999999995
2014-02-01,tama,3196.74
2014-02-01,taylor,364.5
2014-02-01,union,5020.65
2014-02-01,van buren,1026.2800000000002
2014-02-01,wapello,11848.809999999998
2014-02-01,warren,12362.660000000003
2014-02-01,washington,6497.879999999998
2014-02-01,wayne,300.75
2014-02-01,webster,15582.430000000002
2014-02-01,winnebago,4260.490000000001
2014-02-01,winneshiek,10269.990000000002
2014-02-01,woodbury,45359.96999999997
2014-02-01,worth,1424.47
2014-02-01,wright,3303.6199999999994
2014-03-01,adair,3249.379999999999
2014-03-01,adams,553.54
2014-03-01,allamakee,4394.55
2014-03-01,appanoose,3155.1899999999996
2014-03-01,audubon,984.94
2014-03-01,benton,3962.66
2014-03-01,black hawk,77200.5800000005
2014-03-01,boone,7903.38
2014-03-01,bremer,8725.500000000002
2014-03-01,buchanan,7464.110000000001
2014-03-01,buena vista,7756.220000000002
2014-03-01,butler,1443.05
2014-03-01,calhoun,2042.0099999999998
2014-03-01,carroll,10930.279999999988
2014-03-01,cass,6323.950000000002
2014-03-01,cedar,2347.3599999999988
2014-03-01,cerro gordo,35459.77
2014-03-01,cherokee,3215.29
2014-03-01,chickasaw,2110.25
2014-03-01,clarke,2993.25
2014-03-01,clay,7076.049999999997
2014-03-01,clayton,4889.19
2014-03-01,clinton,17005.929999999997
2014-03-01,crawford,4771.449999999999
2014-03-01,dallas,23251.190000000006
2014-03-01,davis,768.75
2014-03-01,decatur,824.85
2014-03-01,delaware,6417.750000000001
2014-03-01,des moines,22137.26999999998
2014-03-01,dickinson,14516.720000000003
2014-03-01,dubuque,41206.81
2014-03-01,emmet,2435.1
2014-03-01,fayette,7084.38
2014-03-01,floyd,5514.070000000001
2014-03-01,franklin,3428.1599999999994
2014-03-01,fremont,124.5
2014-03-01,greene,1921.1500000000005
2014-03-01,grundy,2234.9699999999993
2014-03-01,guthrie,1943.8399999999997
2014-03-01,hamilton,3777.6899999999973
2014-03-01,hancock,2246.1
2014-03-01,hardin,9396.19
2014-03-01,harrison,2889.85
2014-03-01,henry,6058.669999999999
2014-03-01,howard,3816.15
2014-03-01,humboldt,4546.1799999999985
2014-03-01,ida,2495.3799999999997
2014-03-01,iowa,9080.790000000003
2014-03-01,jackson,8344.119999999997
2014-03-01,jasper,10531.089999999991
2014-03-01,jefferson,4993.799999999998
2014-03-01,johnson,74723.83000000005
2014-03-01,jones,5975.740000000002
2014-03-01,keokuk,1134.0700000000002
2014-03-01,kossuth,9948.160000000003
2014-03-01,lee,22019.799999999974
2014-03-01,linn,125305.15000000055
2014-03-01,louisa,1607.989999999999
2014-03-01,lucas,1481.8500000000001
2014-03-01,lyon,3961.4399999999982
2014-03-01,madison,2282.61
2014-03-01,mahaska,4680.759999999998
2014-03-01,marion,10210.990000000005
2014-03-01,marshall,13733.62000000001
2014-03-01,mills,2726.4499999999994
2014-03-01,mitchell,2369.4
2014-03-01,monona,3203.2899999999995
2014-03-01,monroe,1472.48
2014-03-01,montgomery,3168.6
2014-03-01,muscatine,16927.049999999992
2014-03-01,o'brien,6888.709999999996
2014-03-01,osceola,1343.0599999999997
2014-03-01,page,5897.9
2014-03-01,palo alto,4501.379999999999
2014-03-01,plymouth,8711.169999999996
2014-03-01,pocahontas,2233.72
2014-03-01,polk,280244.14000000013
2014-03-01,pottawattamie,57071.4099999999
2014-03-01,poweshiek,6253.650000000001
2014-03-01,ringgold,600.0
2014-03-01,sac,2677.0899999999997
2014-03-01,scott,95591.34000000061
2014-03-01,shelby,4217.809999999999
2014-03-01,sioux,6952.46
2014-03-01,story,41215.33999999991
2014-03-01,tama,3445.8399999999992
2014-03-01,taylor,731.35
2014-03-01,union,4796.82
2014-03-01,van buren,1073.4
2014-03-01,wapello,12448.830000000014
2014-03-01,warren,10093.410000000002
2014-03-01,washington,8383.160000000002
2014-03-01,wayne,368.25
2014-03-01,webster,15145.040000000006
2014-03-01,winnebago,4151.85
2014-03-01,winneshiek,6481.8499999999985
2014-03-01,woodbury,44813.739999999954
2014-03-01,worth,1777.5099999999998
2014-03-01,wright,3811.6
2014-04-01,adair,2581.99
2014-04-01,adams,556.08
2014-04-01,allamakee,5082.22
2014-04-01,appanoose,5532.829999999998
2014-04-01,audubon,1066.25
2014-04-01,benton,4466.6
2014-04-01,black hawk,90530.86000000073
2014-04-01,boone,11952.529999999999
2014-04-01,bremer,12860.25
2014-04-01,buchanan,7894.640000000001
2014-04-01,buena vista,10457.210000000008
2014-04-01,butler,2193.05
2014-04-01,calhoun,2460.779999999999
2014-04-01,carroll,12380.529999999997
2014-04-01,cass,5412.51
2014-04-01,cedar,2952.6699999999996
2014-04-01,cerro gordo,32164.65999999995
2014-04-01,cherokee,5252.9800000000005
2014-04-01,chickasaw,3386.72
2014-04-01,clarke,3079.05
2014-04-01,clay,10883.280000000006
2014-04-01,clayton,3887.1699999999996
2014-04-01,clinton,19123.089999999997
2014-04-01,crawford,9708.640000000005
2014-04-01,dallas,28795.97000000001
2014-04-01,davis,716.25
2014-04-01,decatur,964.42
2014-04-01,delaware,4676.709999999998
2014-04-01,des moines,16906.890000000003
2014-04-01,dickinson,21216.929999999997
2014-04-01,dubuque,53415.63999999999
2014-04-01,emmet,4930.010000000001
2014-04-01,fayette,9808.96
2014-04-01,floyd,8139.730000000001
2014-04-01,franklin,3404.94
2014-04-01,fremont,123.6
2014-04-01,greene,1919.3200000000004
2014-04-01,grundy,2060.919999999999
2014-04-01,guthrie,1557.9500000000003
2014-04-01,hamilton,6413.090000000001
2014-04-01,hancock,2350.82
2014-04-01,hardin,14381.79
2014-04-01,harrison,2748.1999999999985
2014-04-01,henry,5319.22
2014-04-01,howard,4866.75
2014-04-01,humboldt,5044.1799999999985
2014-04-01,ida,2960.8299999999995
2014-04-01,iowa,9566.060000000003
2014-04-01,jackson,6527.199999999999
2014-04-01,jasper,12132.369999999988
2014-04-01,jefferson,3774.6899999999982
2014-04-01,johnson,84626.59000000005
2014-04-01,jones,7169.200000000001
2014-04-01,keokuk,839.94
2014-04-01,kossuth,11767.12
2014-04-01,lee,19768.530000000002
2014-04-01,linn,142873.76000000068
2014-04-01,louisa,1669.7699999999995
2014-04-01,lucas,2118.37
2014-04-01,lyon,4495.759999999998
2014-04-01,madison,3919.4999999999986
2014-04-01,mahaska,7007.09
2014-04-01,marion,11871.520000000004
2014-04-01,marshall,19138.740000000016
2014-04-01,mills,2997.75
2014-04-01,mitchell,3435.3600000000006
2014-04-01,monona,3428.379999999998
2014-04-01,monroe,1729.9699999999998
2014-04-01,montgomery,3989.379999999999
2014-04-01,muscatine,18250.710000000003
2014-04-01,o'brien,8675.340000000004
2014-04-01,osceola,2001.57
2014-04-01,page,6633.26
2014-04-01,palo alto,3870.5299999999997
2014-04-01,plymouth,10846.540000000005
2014-04-01,pocahontas,1971.4799999999993
2014-04-01,polk,348268.0299999991
2014-04-01,pottawattamie,47139.3899999999
2014-04-01,poweshiek,10327.940000000011
2014-04-01,ringgold,1068.0
2014-04-01,sac,4175.97
2014-04-01,scott,114846.23000000059
2014-04-01,shelby,5904.179999999999
2014-04-01,sioux,10766.94
2014-04-01,story,61802.54000000008
2014-04-01,tama,4317.679999999999
2014-04-01,taylor,753.5
2014-04-01,union,6486.499999999999
2014-04-01,van buren,1014.2
2014-04-01,wapello,17722.140000000025
2014-04-01,warren,13212.600000000002
2014-04-01,washington,7042.8300000000045
2014-04-01,wayne,302.25
2014-04-01,webster,20629.329999999987
2014-04-01,winnebago,5256.929999999999
2014-04-01,winneshiek,8830.12
