,votes_dem,votes_gop,total_votes,per_dem,per_gop,diff,per_point_diff,state_abbr,county_name,combined_fips
63,5469,10940,17554,0.311552922,0.623219779,"5,471",31.17%,IA,Marion County,19125
64,7623,9125,17700,0.430677966,0.515536723,"1,502",8.49%,IA,Marshall County,19127
65,2080,5050,7608,0.273396425,0.663774974,"2,970",39.04%,IA,Mills County,19129
66,1879,3180,5360,0.350559701,0.593283582,"1,301",24.27%,IA,Mitchell County,19131
67,1244,3115,4525,0.274917127,0.68839779,"1,871",41.35%,IA,Monona County,19133
68,1053,2635,3844,0.273933403,0.685483871,"1,582",41.16%,IA,Monroe County,19135
69,1312,3431,4998,0.262505002,0.68647459,"2,119",42.40%,IA,Montgomery County,19137
70,8284,9549,19086,0.434035419,0.500314367,"1,265",6.63%,IA,Muscatine County,19139
71,1314,5735,7348,0.17882417,0.780484486,"4,421",60.17%,IA,O'Brien County,19141
72,552,2528,3197,0.172661871,0.79074132,"1,976",61.81%,IA,Osceola County,19143
73,1801,4875,6968,0.258467279,0.699626866,"3,074",44.12%,IA,Page County,19145
74,1395,3079,4674,0.298459564,0.658750535,"1,684",36.03%,IA,Palo Alto County,19147
75,2878,9659,13057,0.220418167,0.739756452,"6,781",51.93%,IA,Plymouth County,19149
76,962,2692,3831,0.251109371,0.702688593,"1,730",45.16%,IA,Pocahontas County,19151
77,119671,93421,228420,0.523907714,0.408987829,"26,250",11.49%,IA,Polk County,19153
78,15341,24441,42226,0.363306967,0.578814001,"9,100",21.55%,IA,Pottawattamie County,19155
79,4272,4936,9693,0.440730424,0.509233467,664,6.85%,IA,Poweshiek County,19157
80,753,1820,2684,0.280551416,0.678092399,"1,067",39.75%,IA,Ringgold County,19159
81,1269,3692,5158,0.246025591,0.715781311,"2,423",46.98%,IA,Sac County,19161
82,40302,39083,84878,0.474822687,0.460460897,"1,219",1.44%,IA,Scott County,19163
83,1649,4340,6270,0.262998405,0.692185008,"2,691",42.92%,IA,Shelby County,19165
84,2289,14761,17989,0.127244427,0.820557007,"12,472",69.33%,IA,Sioux County,19167
85,25085,19111,48910,0.512880801,0.39073809,"5,974",12.21%,IA,Story County,19169
86,3194,4968,8636,0.369847151,0.575266327,"1,774",20.54%,IA,Tama County,19171
87,755,2108,3003,0.251415251,0.701964702,"1,353",45.05%,IA,Taylor County,19173
88,1920,3521,5768,0.332871012,0.610436893,"1,601",27.76%,IA,Union County,19175
89,843,2524,3526,0.239081112,0.715825298,"1,681",47.67%,IA,Van Buren County,19177
90,5591,8710,14996,0.372832755,0.580821552,"3,119",20.80%,IA,Wapello County,19179
91,10371,14773,26916,0.385309853,0.548855699,"4,402",16.35%,IA,Warren County,19181
92,3938,6170,10824,0.363821138,0.570029564,"2,232",20.62%,IA,Washington County,19183
93,719,2069,2921,0.246148579,0.708319069,"1,350",46.22%,IA,Wayne County,19185
94,6293,10049,17239,0.365044376,0.582922443,"3,756",21.79%,IA,Webster County,19187
95,1920,3437,5717,0.335840476,0.601189435,"1,517",26.53%,IA,Winnebago County,19189
96,5238,5332,11217,0.466969778,0.475349915,94,0.84%,IA,Winneshiek County,19191
97,16102,24627,42933,0.375049496,0.573614702,"8,525",19.86%,IA,Woodbury County,19193
98,1523,2443,4216,0.361242884,0.579459203,920,21.82%,IA,Worth County,19195
99,1890,3790,5949,0.317700454,0.637081862,"1,900",31.94%,IA,Wright County,19197
